epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,137735,0.16026,0.17634,0.97676,0.99619,1,0.995,0.90271,0.43556,0.26863,0.81592,0.000412749,0.000412749,0.000412749
78,139512,0.16097,0.17838,0.98007,0.9971,0.99219,0.99492,0.92425,0.37848,0.21993,0.71156,0.000396246,0.000396246,0.000396246
79,141290,0.15726,0.17547,0.97873,0.99587,0.99966,0.995,0.91637,0.39641,0.24007,0.7518,0.000379743,0.000379743,0.000379743
80,143067,0.15588,0.17446,0.97803,0.99632,1,0.995,0.91053,0.42838,0.24968,0.77803,0.000363239,0.000363239,0.000363239
81,144845,0.15719,0.17696,0.97478,0.99797,1,0.995,0.927,0.36529,0.21433,0.71218,0.000346736,0.000346736,0.000346736
82,146623,0.15593,0.16521,0.97579,0.99612,1,0.995,0.91582,0.41952,0.25659,0.79206,0.000330233,0.000330233,0.000330233
83,148424,0.1559,0.17272,0.97558,0.99841,1,0.995,0.91818,0.4217,0.28467,0.77349,0.000313729,0.000313729,0.000313729
84,150201,0.15149,0.16377,0.97084,0.99851,1,0.995,0.91376,0.41798,0.24415,0.77999,0.000297226,0.000297226,0.000297226
85,152147,0.14469,0.16552,0.96342,0.99764,1,0.995,0.92292,0.38483,0.23449,0.71319,0.000280723,0.000280723,0.000280723
86,154119,0.1505,0.16812,0.97775,0.9974,1,0.995,0.93003,0.36044,0.19982,0.68214,0.00026422,0.00026422,0.00026422
87,155952,0.14851,0.16939,0.96881,0.99673,1,0.995,0.92055,0.35892,0.18945,0.68557,0.000247716,0.000247716,0.000247716
88,157805,0.14406,0.16659,0.96316,0.99658,1,0.995,0.92873,0.38277,0.2349,0.69264,0.000231213,0.000231213,0.000231213
89,159589,0.14155,0.16038,0.96248,0.99737,1,0.995,0.91429,0.36513,0.21351,0.69394,0.00021471,0.00021471,0.00021471
90,161373,0.1439,0.15686,0.96335,0.99502,0.99219,0.99492,0.92921,0.35576,0.2227,0.66873,0.000198206,0.000198206,0.000198206
91,163149,0.11747,0.23787,0.99109,0.9985,1,0.995,0.92288,0.35236,0.24123,0.66889,0.000181703,0.000181703,0.000181703
92,164954,0.11028,0.11645,0.98142,0.99795,1,0.995,0.90501,0.43524,0.3183,0.75668,0.0001652,0.0001652,0.0001652
93,166860,0.10722,0.099,0.97946,0.99836,1,0.995,0.91521,0.43922,0.35464,0.78939,0.000148696,0.000148696,0.000148696
94,168858,0.1124,0.10636,0.98401,0.99691,0.99991,0.995,0.9262,0.37552,0.23856,0.69582,0.000132193,0.000132193,0.000132193
95,170819,0.10136,0.08689,0.9836,0.99796,0.99219,0.99492,0.92576,0.3964,0.25788,0.72143,0.00011569,0.00011569,0.00011569
96,172757,0.10132,0.10608,0.97902,0.99727,0.99219,0.99464,0.91798,0.39396,0.25082,0.71671,9.91865e-05,9.91865e-05,9.91865e-05
97,174692,0.09762,0.08415,0.97995,0.99762,1,0.995,0.93097,0.34346,0.20864,0.66878,8.26832e-05,8.26832e-05,8.26832e-05
98,176641,0.09656,0.09173,0.97985,0.99505,0.99936,0.995,0.92481,0.36986,0.20335,0.67461,6.61799e-05,6.61799e-05,6.61799e-05
99,178453,0.09569,0.0764,0.97072,0.99486,0.99564,0.995,0.93614,0.33407,0.18972,0.65186,4.96766e-05,4.96766e-05,4.96766e-05
100,180236,0.09313,0.07662,0.98434,0.99499,0.99837,0.995,0.9394,0.3353,0.18793,0.65168,3.31733e-05,3.31733e-05,3.31733e-05
